술이름,기준가_TWD,정가_TWD,환율_TWDKRW,기준가_KRW,반입추정가_KRW_관세20,반입추정가_KRW_FTA0,재고,출처,가져온날짜,URL,비고
蘇格登 12年 (1L),1399.0,1520.0,47.9489,67081,171427,142856,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/蘇格登-12年-1l-the-singleton-12y-glen-ord-1l-1,할인중
麥卡倫 30年雪莉桶 (2018年),228000.0,238000.0,47.9489,10932349,27937837,23281530,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-30年雪莉桶-2018年-the-macallan-sherry-oak-30y-2018,할인중
京都威士忌 西陣織 紫帶,1880.0,1960.0,47.9489,90144,230365,191971,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/京都威士忌-西陣織-紫帶-the-kyoto-malt-whisky,할인중
坦杜 珍藏版雪茄原酒第三版,6500.0,8800.0,47.9489,311668,796474,663728,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/坦杜-珍藏版雪茄原酒第三版-tamdhu-cigar-malt-release-no-3,할인중
噶瑪蘭 珍選NO.1 迷你酒,120.0,,47.9489,5754,14704,12254,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/噶瑪蘭-珍選no-1-迷你酒-kavalan-distillery-select-no-1-mini-size,
格蘭傑 東京物語,2200.0,2500.0,47.9489,105488,269577,224647,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭傑-東京物語-glenmorangie-a-tale-of-tokyo,할인중
噶瑪蘭 波特桶,2180.0,2300.0,47.9489,104529,267126,222605,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/噶瑪蘭-波特桶-kavalan-port-oak,할인중
百富 18年 PX雪莉桶,6500.0,7000.0,47.9489,311668,796474,663728,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/百富-18年-px雪莉桶-the-balvenie-18-years-old-px-cask-finish,할인중
大摩 典藏珍稀年份 VINTAGE 2003,13800.0,16000.0,47.9489,661695,1690975,1409146,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/大摩-典藏珍稀年份-vintage-2003-dalmore-vintage-2002-2022-release,할인중
格蘭多納 桶裝強度原酒 BATCH 11,2550.0,3000.0,47.9489,122270,312463,260386,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭多納-桶裝強度原酒-batch-11-glendronach-cask-strength-batch-11,할인중
OMAR 龍騰青雲 三桶單一麥芽威士忌,1800.0,2000.0,47.9489,86308,220562,183802,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/omar-龍騰青雲-三桶單一麥芽威士忌-omar-single-malt-whisky-triple-cask-year-of-the-dragon,할인중
噶瑪蘭 經典獨奏 波特桶原酒,3280.0,3500.0,47.9489,157272,401912,334926,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/m21605,할인중
格蘭利威 12年美國桶 200周年限定版,1380.0,1530.0,47.9489,66169,169096,140914,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭利威-12年美國桶-200週年限定版-glenlivet-12y-first-fill-amerivan-oak-200th-anniversary,할인중
格蘭冠 DEVOTION 70年,3200000.0,,47.9489,153436480,392109993,326758328,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭冠-70年-the-glen-grant-devotion-70y,
汀士頓 蛻變系列#3 蘊育者,4680.0,5200.0,47.9489,224401,573461,477884,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/汀士頓-蛻變系列-3-蘊育者-deanston-transformation-series-edition-3-the-teith,할인중
高原騎士 15年 限量禮盒,2380.0,2830.0,47.9489,114118,291631,243026,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/高原騎士-15年-2024龍年春節禮盒-highland-park-15y-2024-cny,할인중
波摩 22年 Aston Martin 大師鉅作系列 第二版,18000.0,23000.0,47.9489,863080,2205618,1838015,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/波摩-22年-大師鉅作系列-aston-martin聯名款-bowmore-x-aston-martin-22y-masters-selection-edition,할인중
齊侯門 五聖獸-青龍 單桶原酒2013#673,4200.0,,47.9489,201385,514643,428869,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊侯門-五聖獸-青龍-單桶原酒2013-673-kilchoman-bourbon-matured-single-cask-finish-bottled-exclusively-for-taiwan,
齊侯門 五聖獸-玄武 單桶原酒2012#264,3900.0,4200.0,47.9489,187001,477885,398237,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊侯門-五聖獸-玄武-單桶原酒2012-264-kilchoman-bourbon-matured-single-cask-finish-bottled-exclusively-for-taiwan,할인중
齊侯門 五聖獸-白虎 單桶原酒2013#852,3900.0,4200.0,47.9489,187001,477885,398237,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/齊侯門-五聖獸-白虎-單桶原酒2013-852-kilchoman-bourbon-matured-single-cask-finish-bottled-exclusively-for-taiwan,할인중
OMAR 14年原桶強度PX雪莉桶 「寶島采風」套組,85000.0,100000.0,47.9489,4075656,10415420,8679517,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/omar-14年原桶強度px雪莉桶套組-omar-single-malt-whisky-14y-px-solera-sherry-cask,할인중
格蘭菲迪 21年 福鹿限定版,4680.0,5200.0,47.9489,224401,573461,477884,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭菲迪-21年-2024春節禮盒-glenfiddich-21y-2024-cny,할인중
格蘭菲迪 18年 小批次雪莉桶,2450.0,2750.0,47.9489,117475,300210,250175,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/格蘭菲迪-18年-小批次雪莉桶-glenfiddich-18y-triple-sherry-cask,할인중
帝王 25年,6600.0,7200.0,47.9489,316463,808728,673940,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/帝王25年-dewars-25y,할인중
帝王 四重陳釀 32年限量版,10880.0,12500.0,47.9489,521684,1333174,1110978,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/帝王四重陳釀-32年限量版-dewars-32y-double-aged-for-ultimate-smoothness-blended,할인중
老酋長 25年,6800.0,7500.0,47.9489,326053,833235,694362,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/老酋長-25年-chieftains-25y-single-malt-scotch-whisky,할인중
麥卡倫 詹姆士龐德60週年限量版 DECADE VI,48000.0,52000.0,47.9489,2301547,5881649,4901374,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-詹姆士龐德60週年限量版-decade-vi-macallan-james-bond-60th-anniversary-release-decade-vi,할인중
麥卡倫 詹姆士龐德60週年限量版 DECADE I,35000.0,50000.0,47.9489,1678212,4288704,3573920,Y,my9買酒網,2026-05-30,https://www.my9.com.tw/products/麥卡倫-詹姆士龐德60週年限量版-decade-i-macallan-james-bond-60th-anniversary-release-decade-i,할인중
